{\rtf1\ansi\ansicpg1252\cocoartf1038\cocoasubrtf360
{\fonttbl\f0\fmodern\fcharset0 Courier;}
{\colortbl;\red255\green255\blue255;}
\paperw11900\paperh16840\margl1440\margr1440\vieww21020\viewh14500\viewkind0
\deftab720
\pard\pardeftab720\ql\qnatural

\f0\fs24 \cf0 type	latitude	longitude	altitude (m)	data	fixtype	utc\
W	40.064427000	-3.143603000	646.0	1514	04	Sun Oct 27 2013 22:30:00 GMT+0100 (CET)\
W	40.064427000	-3.143603000	647.0	1519	04	Sun Oct 27 2013 22:31:15 GMT+0100 (CET)\
W	40.064427000	-3.143602000	647.0	1522	04	Sun Oct 27 2013 22:32:00 GMT+0100 (CET)\
W	40.064424000	-3.143602000	647.0	1524	04	Sun Oct 27 2013 22:32:30 GMT+0100 (CET)\
W	40.064424000	-3.143601000	647.0	1527	04	Sun Oct 27 2013 22:33:15 GMT+0100 (CET)\
W	40.064424000	-3.143600000	647.0	1532	04	Sun Oct 27 2013 22:34:30 GMT+0100 (CET)\
W	40.064424000	-3.143599000	647.0	1544	04	Sun Oct 27 2013 22:36:15 GMT+0100 (CET)\
W	40.064424000	-3.143598000	647.0	1548	04	Sun Oct 27 2013 22:37:15 GMT+0100 (CET)\
W	40.064424000	-3.143597000	647.0	1554	04	Sun Oct 27 2013 22:38:45 GMT+0100 (CET)\
W	40.064424000	-3.143597000	648.0	1555	04	Sun Oct 27 2013 22:39:00 GMT+0100 (CET)\
W	40.064420000	-3.143596000	648.0	1559	04	Sun Oct 27 2013 22:40:00 GMT+0100 (CET)\
W	40.064420000	-3.143595000	648.0	1565	04	Sun Oct 27 2013 22:41:30 GMT+0100 (CET)\
W	40.064420000	-3.143594000	648.0	1570	04	Sun Oct 27 2013 22:42:45 GMT+0100 (CET)\
W	40.064420000	-3.143593000	648.0	1575	04	Sun Oct 27 2013 22:44:00 GMT+0100 (CET)\
W	40.064420000	-3.143592000	648.0	1579	04	Sun Oct 27 2013 22:45:00 GMT+0100 (CET)\
W	40.064420000	-3.143591000	648.0	1583	04	Sun Oct 27 2013 22:46:00 GMT+0100 (CET)\
W	40.064416000	-3.143591000	648.0	1586	04	Sun Oct 27 2013 22:46:45 GMT+0100 (CET)\
W	40.064416000	-3.143590000	648.0	1589	04	Sun Oct 27 2013 22:47:30 GMT+0100 (CET)\
W	40.064412000	-3.143591000	648.0	1594	04	Sun Oct 27 2013 22:48:45 GMT+0100 (CET)\
W	40.064408000	-3.143591000	648.0	1599	04	Sun Oct 27 2013 22:50:00 GMT+0100 (CET)\
W	40.064408000	-3.143590000	648.0	1604	04	Sun Oct 27 2013 22:51:15 GMT+0100 (CET)\
W	40.064404000	-3.143591000	648.0	1606	04	Sun Oct 27 2013 22:51:45 GMT+0100 (CET)\
W	40.064404000	-3.143590000	648.0	1608	04	Sun Oct 27 2013 22:52:15 GMT+0100 (CET)\
W	40.064401000	-3.143591000	648.0	1611	04	Sun Oct 27 2013 22:53:00 GMT+0100 (CET)\
W	40.064401000	-3.143591000	647.0	1612	04	Sun Oct 27 2013 22:53:15 GMT+0100 (CET)\
W	40.064401000	-3.143592000	647.0	1615	04	Sun Oct 27 2013 22:54:00 GMT+0100 (CET)\
W	40.064401000	-3.143594000	646.0	1618	04	Sun Oct 27 2013 22:54:45 GMT+0100 (CET)\
W	40.064401000	-3.143593000	646.0	1625	04	Sun Oct 27 2013 22:56:30 GMT+0100 (CET)\
W	40.064401000	-3.143593000	645.0	1644	04	Sun Oct 27 2013 23:01:15 GMT+0100 (CET)\
W	40.064397000	-3.143593000	645.0	1647	04	Sun Oct 27 2013 23:02:00 GMT+0100 (CET)\
W	40.064397000	-3.143592000	645.0	1649	04	Sun Oct 27 2013 23:02:30 GMT+0100 (CET)\
W	40.064397000	-3.143591000	645.0	1660	04	Sun Oct 27 2013 23:05:15 GMT+0100 (CET)\
W	40.064393000	-3.143592000	645.0	1684	04	Sun Oct 27 2013 23:11:15 GMT+0100 (CET)\
W	40.064393000	-3.143593000	645.0	1686	04	Sun Oct 27 2013 23:11:45 GMT+0100 (CET)\
W	40.064393000	-3.143594000	645.0	1693	04	Sun Oct 27 2013 23:13:30 GMT+0100 (CET)\
W	40.064393000	-3.143595000	645.0	1701	04	Sun Oct 27 2013 23:15:30 GMT+0100 (CET)\
W	40.064393000	-3.143596000	645.0	1709	04	Sun Oct 27 2013 23:17:30 GMT+0100 (CET)\
W	40.064389000	-3.143596000	645.0	1716	04	Sun Oct 27 2013 23:19:15 GMT+0100 (CET)\
W	40.064389000	-3.143597000	645.0	1719	04	Sun Oct 27 2013 23:20:00 GMT+0100 (CET)\
W	40.064389000	-3.143597000	644.0	1728	04	Sun Oct 27 2013 23:22:15 GMT+0100 (CET)\
W	40.064389000	-3.143598000	644.0	1730	04	Sun Oct 27 2013 23:22:45 GMT+0100 (CET)\
W	40.064389000	-3.143599000	644.0	1739	04	Sun Oct 27 2013 23:25:00 GMT+0100 (CET)\
W	40.064389000	-3.143600000	644.0	1745	04	Sun Oct 27 2013 23:26:30 GMT+0100 (CET)\
W	40.064389000	-3.143601000	644.0	1749	04	Sun Oct 27 2013 23:27:30 GMT+0100 (CET)\
W	40.064389000	-3.143602000	644.0	1756	04	Sun Oct 27 2013 23:29:15 GMT+0100 (CET)\
W	40.064389000	-3.143603000	644.0	1762	04	Sun Oct 27 2013 23:30:45 GMT+0100 (CET)\
W	40.064389000	-3.143604000	644.0	1769	04	Sun Oct 27 2013 23:32:30 GMT+0100 (CET)\
W	40.064389000	-3.143605000	644.0	1778	04	Sun Oct 27 2013 23:34:45 GMT+0100 (CET)\
W	40.064389000	-3.143606000	644.0	1783	04	Sun Oct 27 2013 23:36:00 GMT+0100 (CET)\
W	40.064389000	-3.143607000	644.0	1790	04	Sun Oct 27 2013 23:37:45 GMT+0100 (CET)\
W	40.064389000	-3.143607000	643.0	1791	04	Sun Oct 27 2013 23:38:00 GMT+0100 (CET)\
W	40.064393000	-3.143607000	643.0	1798	04	Sun Oct 27 2013 23:38:30 GMT+0100 (CET)\
W	40.064393000	-3.143608000	643.0	1802	04	Sun Oct 27 2013 23:39:30 GMT+0100 (CET)\
W	40.064393000	-3.143609000	643.0	1811	04	Sun Oct 27 2013 23:41:45 GMT+0100 (CET)\
W	40.064393000	-3.143610000	643.0	1816	04	Sun Oct 27 2013 23:43:00 GMT+0100 (CET)\
W	40.064393000	-3.143611000	643.0	1819	04	Sun Oct 27 2013 23:43:45 GMT+0100 (CET)\
W	40.064397000	-3.143611000	643.0	1820	04	Sun Oct 27 2013 23:44:00 GMT+0100 (CET)\
W	40.064397000	-3.143613000	643.0	1826	04	Sun Oct 27 2013 23:45:30 GMT+0100 (CET)\
W	40.064397000	-3.143614000	642.0	1827	04	Sun Oct 27 2013 23:45:45 GMT+0100 (CET)\
W	40.064401000	-3.143615000	642.0	1831	04	Sun Oct 27 2013 23:46:45 GMT+0100 (CET)\
W	40.064401000	-3.143616000	642.0	1839	04	Sun Oct 27 2013 23:48:45 GMT+0100 (CET)\
W	40.064401000	-3.143617000	642.0	1846	04	Sun Oct 27 2013 23:50:30 GMT+0100 (CET)\
W	40.064401000	-3.143618000	642.0	1851	04	Sun Oct 27 2013 23:51:45 GMT+0100 (CET)\
W	40.064404000	-3.143618000	642.0	1854	04	Sun Oct 27 2013 23:52:30 GMT+0100 (CET)\
W	40.064404000	-3.143620000	642.0	1856	04	Sun Oct 27 2013 23:53:00 GMT+0100 (CET)\
W	40.064404000	-3.143621000	642.0	1857	04	Sun Oct 27 2013 23:53:15 GMT+0100 (CET)\
W	40.064404000	-3.143622000	642.0	1858	04	Sun Oct 27 2013 23:53:30 GMT+0100 (CET)\
W	40.064404000	-3.143623000	642.0	1859	04	Sun Oct 27 2013 23:53:45 GMT+0100 (CET)\
W	40.064404000	-3.143624000	642.0	1860	04	Sun Oct 27 2013 23:54:00 GMT+0100 (CET)\
W	40.064404000	-3.143624000	641.0	1861	04	Sun Oct 27 2013 23:54:15 GMT+0100 (CET)\
W	40.064404000	-3.143625000	641.0	1862	04	Sun Oct 27 2013 23:54:30 GMT+0100 (CET)\
W	40.064404000	-3.143626000	641.0	1863	04	Sun Oct 27 2013 23:54:45 GMT+0100 (CET)\
W	40.064404000	-3.143627000	641.0	1864	04	Sun Oct 27 2013 23:55:00 GMT+0100 (CET)\
W	40.064404000	-3.143628000	641.0	1865	04	Sun Oct 27 2013 23:55:15 GMT+0100 (CET)\
W	40.064404000	-3.143629000	641.0	1866	04	Sun Oct 27 2013 23:55:30 GMT+0100 (CET)\
W	40.064404000	-3.143630000	641.0	1867	04	Sun Oct 27 2013 23:55:45 GMT+0100 (CET)\
W	40.064404000	-3.143631000	641.0	1868	04	Sun Oct 27 2013 23:56:00 GMT+0100 (CET)\
W	40.064404000	-3.143632000	641.0	1869	04	Sun Oct 27 2013 23:56:15 GMT+0100 (CET)\
W	40.064404000	-3.143633000	640.0	1870	04	Sun Oct 27 2013 23:56:30 GMT+0100 (CET)\
W	40.064404000	-3.143634000	640.0	1871	04	Sun Oct 27 2013 23:56:45 GMT+0100 (CET)\
W	40.064404000	-3.143635000	640.0	1873	04	Sun Oct 27 2013 23:57:15 GMT+0100 (CET)\
W	40.064404000	-3.143636000	640.0	1875	04	Sun Oct 27 2013 23:57:45 GMT+0100 (CET)\
W	40.064404000	-3.143637000	640.0	1878	04	Sun Oct 27 2013 23:58:30 GMT+0100 (CET)\
W	40.064408000	-3.143637000	639.0	1879	04	Sun Oct 27 2013 23:58:45 GMT+0100 (CET)\
W	40.064408000	-3.143638000	639.0	1880	04	Sun Oct 27 2013 23:59:00 GMT+0100 (CET)\
W	40.064408000	-3.143639000	639.0	1882	04	Sun Oct 27 2013 23:59:30 GMT+0100 (CET)\
W	40.064408000	-3.143640000	639.0	1885	04	Mon Oct 28 2013 00:00:15 GMT+0100 (CET)\
W	40.064408000	-3.143641000	639.0	1887	04	Mon Oct 28 2013 00:00:45 GMT+0100 (CET)\
W	40.064408000	-3.143641000	638.0	1890	04	Mon Oct 28 2013 00:01:30 GMT+0100 (CET)\
W	40.064408000	-3.143642000	638.0	1891	04	Mon Oct 28 2013 00:01:45 GMT+0100 (CET)\
W	40.064408000	-3.143643000	638.0	1898	04	Mon Oct 28 2013 00:03:30 GMT+0100 (CET)\
W	40.064408000	-3.143643000	637.0	1900	04	Mon Oct 28 2013 00:04:00 GMT+0100 (CET)\
W	40.064408000	-3.143644000	637.0	1901	04	Mon Oct 28 2013 00:04:15 GMT+0100 (CET)\
W	40.064408000	-3.143645000	637.0	1905	04	Mon Oct 28 2013 00:05:15 GMT+0100 (CET)\
W	40.064408000	-3.143646000	637.0	1907	04	Mon Oct 28 2013 00:05:45 GMT+0100 (CET)\
W	40.064416000	-3.143656000	635.0	1911	04	Mon Oct 28 2013 00:06:45 GMT+0100 (CET)\
W	40.064412000	-3.143669000	634.0	1912	04	Mon Oct 28 2013 00:07:00 GMT+0100 (CET)\
W	40.064416000	-3.143671000	632.0	1913	04	Mon Oct 28 2013 00:07:15 GMT+0100 (CET)\
W	40.064427000	-3.143666000	630.0	1914	04	Mon Oct 28 2013 00:07:30 GMT+0100 (CET)\
W	40.064435000	-3.143666000	628.0	1915	04	Mon Oct 28 2013 00:07:45 GMT+0100 (CET)\
W	40.064435000	-3.143673000	625.0	1916	04	Mon Oct 28 2013 00:08:00 GMT+0100 (CET)\
W	40.064431000	-3.143678000	623.0	1917	04	Mon Oct 28 2013 00:08:15 GMT+0100 (CET)\
W	40.064435000	-3.143678000	621.0	1918	04	Mon Oct 28 2013 00:08:30 GMT+0100 (CET)\
W	40.064435000	-3.143675000	620.0	1919	04	Mon Oct 28 2013 00:08:45 GMT+0100 (CET)\
W	40.064435000	-3.143673000	620.0	1920	04	Mon Oct 28 2013 00:09:00 GMT+0100 (CET)\
W	40.064435000	-3.143674000	620.0	1921	04	Mon Oct 28 2013 00:09:15 GMT+0100 (CET)\
W	40.064439000	-3.143674000	620.0	1933	04	Mon Oct 28 2013 00:12:15 GMT+0100 (CET)\
W	40.064439000	-3.143675000	620.0	1934	04	Mon Oct 28 2013 00:12:30 GMT+0100 (CET)\
W	40.064439000	-3.143673000	620.0	1939	04	Mon Oct 28 2013 00:13:45 GMT+0100 (CET)\
W	40.064435000	-3.143672000	620.0	1953	04	Mon Oct 28 2013 00:17:15 GMT+0100 (CET)\
W	40.064435000	-3.143671000	620.0	1959	04	Mon Oct 28 2013 00:18:45 GMT+0100 (CET)\
W	40.064435000	-3.143670000	621.0	1966	04	Mon Oct 28 2013 00:20:30 GMT+0100 (CET)\
W	40.064435000	-3.143669000	621.0	1973	04	Mon Oct 28 2013 00:22:15 GMT+0100 (CET)\
W	40.064435000	-3.143668000	621.0	1982	04	Mon Oct 28 2013 00:24:30 GMT+0100 (CET)\
W	40.064439000	-3.143668000	621.0	1987	04	Mon Oct 28 2013 00:25:45 GMT+0100 (CET)\
W	40.064439000	-3.143667000	621.0	1992	04	Mon Oct 28 2013 00:27:00 GMT+0100 (CET)\
W	40.064439000	-3.143666000	621.0	1998	04	Mon Oct 28 2013 00:28:30 GMT+0100 (CET)\
W	40.064439000	-3.143665000	621.0	2004	04	Mon Oct 28 2013 00:30:00 GMT+0100 (CET)\
W	40.064439000	-3.143664000	621.0	2014	04	Mon Oct 28 2013 00:32:30 GMT+0100 (CET)\
W	40.064439000	-3.143663000	621.0	2028	04	Mon Oct 28 2013 00:36:00 GMT+0100 (CET)\
W	40.064439000	-3.143663000	622.0	2029	04	Mon Oct 28 2013 00:36:15 GMT+0100 (CET)\
W	40.064439000	-3.143662000	622.0	2042	04	Mon Oct 28 2013 00:39:30 GMT+0100 (CET)\
W	40.064439000	-3.143661000	622.0	2058	04	Mon Oct 28 2013 00:42:15 GMT+0100 (CET)\
W	40.064439000	-3.143660000	622.0	2066	04	Mon Oct 28 2013 00:44:15 GMT+0100 (CET)\
W	40.064439000	-3.143659000	622.0	2075	04	Mon Oct 28 2013 00:46:30 GMT+0100 (CET)\
W	40.064439000	-3.143658000	622.0	2088	04	Mon Oct 28 2013 00:49:45 GMT+0100 (CET)\
W	40.064439000	-3.143658000	623.0	2093	04	Mon Oct 28 2013 00:51:00 GMT+0100 (CET)\
W	40.064439000	-3.143657000	623.0	2097	04	Mon Oct 28 2013 00:52:00 GMT+0100 (CET)\
W	40.064439000	-3.143656000	623.0	2107	04	Mon Oct 28 2013 00:54:30 GMT+0100 (CET)\
W	40.064439000	-3.143655000	623.0	2115	04	Mon Oct 28 2013 00:56:30 GMT+0100 (CET)\
W	40.064439000	-3.143654000	623.0	2123	04	Mon Oct 28 2013 00:58:30 GMT+0100 (CET)\
W	40.064439000	-3.143653000	623.0	2131	04	Mon Oct 28 2013 01:00:30 GMT+0100 (CET)\
W	40.064435000	-3.143652000	623.0	2136	04	Mon Oct 28 2013 01:01:45 GMT+0100 (CET)\
W	40.064435000	-3.143651000	623.0	2141	04	Mon Oct 28 2013 01:03:00 GMT+0100 (CET)\
W	40.064435000	-3.143650000	623.0	2147	04	Mon Oct 28 2013 01:04:30 GMT+0100 (CET)\
W	40.064435000	-3.143650000	624.0	2150	04	Mon Oct 28 2013 01:05:15 GMT+0100 (CET)\
W	40.064435000	-3.143649000	624.0	2154	04	Mon Oct 28 2013 01:06:15 GMT+0100 (CET)\
W	40.064435000	-3.143648000	624.0	2163	04	Mon Oct 28 2013 01:08:30 GMT+0100 (CET)\
W	40.064435000	-3.143647000	624.0	2169	04	Mon Oct 28 2013 01:10:00 GMT+0100 (CET)\
W	40.064435000	-3.143646000	624.0	2177	04	Mon Oct 28 2013 01:12:00 GMT+0100 (CET)\
W	40.064431000	-3.143645000	624.0	2182	04	Mon Oct 28 2013 01:13:15 GMT+0100 (CET)\
W	40.064431000	-3.143644000	624.0	2188	04	Mon Oct 28 2013 01:14:45 GMT+0100 (CET)\
W	40.064431000	-3.143643000	624.0	2196	04	Mon Oct 28 2013 01:16:45 GMT+0100 (CET)\
W	40.064431000	-3.143642000	624.0	2202	04	Mon Oct 28 2013 01:18:15 GMT+0100 (CET)\
W	40.064431000	-3.143642000	625.0	2203	04	Mon Oct 28 2013 01:18:30 GMT+0100 (CET)\
W	40.064431000	-3.143641000	625.0	2210	04	Mon Oct 28 2013 01:20:15 GMT+0100 (CET)\
W	40.064431000	-3.143640000	625.0	2218	04	Mon Oct 28 2013 01:22:15 GMT+0100 (CET)\
W	40.064427000	-3.143640000	625.0	2221	04	Mon Oct 28 2013 01:23:00 GMT+0100 (CET)\
W	40.064427000	-3.143639000	625.0	2226	04	Mon Oct 28 2013 01:24:15 GMT+0100 (CET)\
W	40.064427000	-3.143638000	625.0	2234	04	Mon Oct 28 2013 01:26:15 GMT+0100 (CET)\
W	40.064427000	-3.143637000	625.0	2242	04	Mon Oct 28 2013 01:28:15 GMT+0100 (CET)\
W	40.064427000	-3.143636000	625.0	2252	04	Mon Oct 28 2013 01:30:45 GMT+0100 (CET)\
W	40.064427000	-3.143635000	625.0	2262	04	Mon Oct 28 2013 01:33:15 GMT+0100 (CET)\
W	40.064427000	-3.143635000	626.0	2268	04	Mon Oct 28 2013 01:34:45 GMT+0100 (CET)\
W	40.064424000	-3.143635000	626.0	2271	04	Mon Oct 28 2013 01:35:30 GMT+0100 (CET)\
W	40.064424000	-3.143634000	626.0	2275	04	Mon Oct 28 2013 01:36:30 GMT+0100 (CET)\
W	40.064424000	-3.143633000	626.0	2292	04	Mon Oct 28 2013 01:40:45 GMT+0100 (CET)\
W	40.064424000	-3.143632000	626.0	2311	04	Mon Oct 28 2013 01:44:15 GMT+0100 (CET)\
W	40.064424000	-3.143631000	626.0	2324	04	Mon Oct 28 2013 01:47:30 GMT+0100 (CET)\
W	40.064424000	-3.143630000	626.0	2333	04	Mon Oct 28 2013 01:49:45 GMT+0100 (CET)\
W	40.064424000	-3.143629000	626.0	2337	04	Mon Oct 28 2013 01:50:45 GMT+0100 (CET)\
W	40.064424000	-3.143628000	626.0	2346	04	Mon Oct 28 2013 01:53:00 GMT+0100 (CET)\
W	40.064424000	-3.143627000	626.0	2364	04	Mon Oct 28 2013 01:57:30 GMT+0100 (CET)\
W	40.064424000	-3.143626000	627.0	2396	04	Mon Oct 28 2013 02:05:30 GMT+0100 (CET)\
W	40.064427000	-3.143626000	627.0	2433	04	Mon Oct 28 2013 02:14:45 GMT+0100 (CET)\
W	40.064427000	-3.143626000	628.0	2448	04	Mon Oct 28 2013 02:18:30 GMT+0100 (CET)\
W	40.064427000	-3.143627000	628.0	2456	04	Mon Oct 28 2013 02:20:30 GMT+0100 (CET)\
W	40.064424000	-3.143626000	628.0	2497	04	Mon Oct 28 2013 02:30:45 GMT+0100 (CET)\
W	40.064424000	-3.143627000	628.0	2524	04	Mon Oct 28 2013 02:37:30 GMT+0100 (CET)\
W	40.064424000	-3.143628000	628.0	2546	04	Mon Oct 28 2013 02:43:00 GMT+0100 (CET)\
W	40.064424000	-3.143630000	627.0	2554	04	Mon Oct 28 2013 02:45:00 GMT+0100 (CET)\
W	40.064420000	-3.143630000	627.0	2565	04	Mon Oct 28 2013 02:46:30 GMT+0100 (CET)\
W	40.064420000	-3.143631000	627.0	2582	04	Mon Oct 28 2013 02:50:45 GMT+0100 (CET)\
W	40.064420000	-3.143632000	627.0	2597	04	Mon Oct 28 2013 02:54:30 GMT+0100 (CET)\
W	40.064416000	-3.143631000	627.0	2604	04	Mon Oct 28 2013 02:56:15 GMT+0100 (CET)\
W	40.064416000	-3.143632000	627.0	2609	04	Mon Oct 28 2013 02:57:30 GMT+0100 (CET)\
W	40.064412000	-3.143632000	627.0	2617	04	Mon Oct 28 2013 02:59:30 GMT+0100 (CET)\
W	40.064408000	-3.143632000	627.0	2626	04	Mon Oct 28 2013 03:01:45 GMT+0100 (CET)\
W	40.064404000	-3.143632000	627.0	2637	04	Mon Oct 28 2013 03:04:30 GMT+0100 (CET)\
W	40.064401000	-3.143632000	627.0	2647	04	Mon Oct 28 2013 03:07:00 GMT+0100 (CET)\
W	40.064401000	-3.143632000	626.0	2649	04	Mon Oct 28 2013 03:07:30 GMT+0100 (CET)\
W	40.064401000	-3.143631000	626.0	2657	04	Mon Oct 28 2013 03:09:30 GMT+0100 (CET)\
W	40.064397000	-3.143631000	626.0	2658	04	Mon Oct 28 2013 03:09:45 GMT+0100 (CET)\
W	40.064397000	-3.143630000	626.0	2666	04	Mon Oct 28 2013 03:11:45 GMT+0100 (CET)\
W	40.064397000	-3.143630000	625.0	2668	04	Mon Oct 28 2013 03:12:15 GMT+0100 (CET)\
W	40.064393000	-3.143630000	625.0	2671	04	Mon Oct 28 2013 03:13:00 GMT+0100 (CET)\
W	40.064393000	-3.143629000	625.0	2677	04	Mon Oct 28 2013 03:14:30 GMT+0100 (CET)\
W	40.064393000	-3.143628000	625.0	2687	04	Mon Oct 28 2013 03:17:00 GMT+0100 (CET)\
W	40.064393000	-3.143628000	624.0	2688	04	Mon Oct 28 2013 03:17:15 GMT+0100 (CET)\
W	40.064393000	-3.143629000	624.0	2691	04	Mon Oct 28 2013 03:18:00 GMT+0100 (CET)\
W	40.064389000	-3.143629000	624.0	2707	04	Mon Oct 28 2013 03:22:00 GMT+0100 (CET)\
W	40.064389000	-3.143628000	624.0	2709	04	Mon Oct 28 2013 03:22:30 GMT+0100 (CET)\
W	40.064389000	-3.143627000	624.0	2723	04	Mon Oct 28 2013 03:26:00 GMT+0100 (CET)\
W	40.064401000	-3.143633000	624.0	2733	04	Mon Oct 28 2013 03:28:30 GMT+0100 (CET)\
W	40.064382000	-3.143623000	622.0	2734	04	Mon Oct 28 2013 03:28:45 GMT+0100 (CET)\
W	40.064382000	-3.143622000	622.0	2735	04	Mon Oct 28 2013 03:29:00 GMT+0100 (CET)\
W	40.064382000	-3.143624000	622.0	2741	04	Mon Oct 28 2013 03:30:30 GMT+0100 (CET)\
W	40.064382000	-3.143625000	622.0	2743	04	Mon Oct 28 2013 03:31:00 GMT+0100 (CET)\
W	40.064385000	-3.143625000	622.0	2746	04	Mon Oct 28 2013 03:31:45 GMT+0100 (CET)\
W	40.064385000	-3.143626000	622.0	2748	04	Mon Oct 28 2013 03:32:15 GMT+0100 (CET)\
W	40.064385000	-3.143627000	622.0	2762	04	Mon Oct 28 2013 03:35:45 GMT+0100 (CET)\
W	40.064389000	-3.143627000	622.0	2763	04	Mon Oct 28 2013 03:36:00 GMT+0100 (CET)\
W	40.064389000	-3.143628000	622.0	2770	04	Mon Oct 28 2013 03:37:45 GMT+0100 (CET)\
W	40.064389000	-3.143627000	623.0	2774	04	Mon Oct 28 2013 03:38:45 GMT+0100 (CET)\
W	40.064389000	-3.143628000	623.0	2775	04	Mon Oct 28 2013 03:39:00 GMT+0100 (CET)\
W	40.064393000	-3.143627000	623.0	2779	04	Mon Oct 28 2013 03:40:00 GMT+0100 (CET)\
W	40.064393000	-3.143628000	623.0	2781	04	Mon Oct 28 2013 03:40:30 GMT+0100 (CET)\
W	40.064397000	-3.143628000	623.0	2793	04	Mon Oct 28 2013 03:43:30 GMT+0100 (CET)\
W	40.064397000	-3.143629000	623.0	2802	04	Mon Oct 28 2013 03:45:45 GMT+0100 (CET)\
W	40.064397000	-3.143627000	623.0	2812	04	Mon Oct 28 2013 03:48:15 GMT+0100 (CET)\
W	40.064397000	-3.143626000	623.0	2825	04	Mon Oct 28 2013 03:50:15 GMT+0100 (CET)\
W	40.064397000	-3.143625000	623.0	2829	04	Mon Oct 28 2013 03:51:15 GMT+0100 (CET)\
W	40.064397000	-3.143624000	623.0	2833	04	Mon Oct 28 2013 03:52:15 GMT+0100 (CET)\
W	40.064397000	-3.143623000	623.0	2843	04	Mon Oct 28 2013 03:54:45 GMT+0100 (CET)\
W	40.064397000	-3.143622000	623.0	2852	04	Mon Oct 28 2013 03:57:00 GMT+0100 (CET)\
W	40.064397000	-3.143621000	623.0	2857	04	Mon Oct 28 2013 03:58:15 GMT+0100 (CET)\
W	40.064397000	-3.143621000	624.0	2864	04	Mon Oct 28 2013 04:00:00 GMT+0100 (CET)\
W	40.064397000	-3.143620000	623.0	2870	04	Mon Oct 28 2013 04:01:30 GMT+0100 (CET)\
W	40.064401000	-3.143620000	623.0	2875	04	Mon Oct 28 2013 04:02:45 GMT+0100 (CET)\
W	40.064401000	-3.143619000	623.0	2878	04	Mon Oct 28 2013 04:03:30 GMT+0100 (CET)\
W	40.064401000	-3.143618000	623.0	2886	04	Mon Oct 28 2013 04:05:30 GMT+0100 (CET)\
W	40.064401000	-3.143617000	623.0	2894	04	Mon Oct 28 2013 04:07:30 GMT+0100 (CET)\
W	40.064404000	-3.143617000	623.0	2902	04	Mon Oct 28 2013 04:09:30 GMT+0100 (CET)\
W	40.064404000	-3.143616000	623.0	2905	04	Mon Oct 28 2013 04:10:15 GMT+0100 (CET)\
W	40.064408000	-3.143617000	623.0	2916	04	Mon Oct 28 2013 04:13:00 GMT+0100 (CET)\
W	40.064408000	-3.143616000	623.0	2923	04	Mon Oct 28 2013 04:14:45 GMT+0100 (CET)\
W	40.064408000	-3.143615000	623.0	2927	04	Mon Oct 28 2013 04:15:45 GMT+0100 (CET)\
W	40.064408000	-3.143614000	623.0	2934	04	Mon Oct 28 2013 04:17:30 GMT+0100 (CET)\
W	40.064408000	-3.143613000	623.0	2949	04	Mon Oct 28 2013 04:21:15 GMT+0100 (CET)\
W	40.064408000	-3.143612000	623.0	2960	04	Mon Oct 28 2013 04:24:00 GMT+0100 (CET)\
W	40.064408000	-3.143611000	623.0	2967	04	Mon Oct 28 2013 04:25:45 GMT+0100 (CET)\
W	40.064408000	-3.143611000	624.0	2968	04	Mon Oct 28 2013 04:26:00 GMT+0100 (CET)\
W	40.064412000	-3.143603000	626.0	2971	04	Mon Oct 28 2013 04:26:45 GMT+0100 (CET)\
W	40.064412000	-3.143592000	628.0	2972	04	Mon Oct 28 2013 04:27:00 GMT+0100 (CET)\
W	40.064412000	-3.143587000	630.0	2973	04	Mon Oct 28 2013 04:27:15 GMT+0100 (CET)\
W	40.064416000	-3.143588000	632.0	2974	04	Mon Oct 28 2013 04:27:30 GMT+0100 (CET)\
W	40.064420000	-3.143590000	633.0	2975	04	Mon Oct 28 2013 04:27:45 GMT+0100 (CET)\
W	40.064420000	-3.143590000	632.0	2976	04	Mon Oct 28 2013 04:28:00 GMT+0100 (CET)\
W	40.064416000	-3.143589000	632.0	2997	04	Mon Oct 28 2013 04:33:15 GMT+0100 (CET)\
W	40.064416000	-3.143589000	631.0	3034	04	Mon Oct 28 2013 04:42:30 GMT+0100 (CET)\
W	40.064420000	-3.143589000	631.0	3044	04	Mon Oct 28 2013 04:45:00 GMT+0100 (CET)\
W	40.064420000	-3.143589000	630.0	3102	04	Mon Oct 28 2013 04:58:15 GMT+0100 (CET)\
W	40.064420000	-3.143590000	630.0	3104	04	Mon Oct 28 2013 04:58:45 GMT+0100 (CET)\
W	40.064420000	-3.143591000	630.0	3137	04	Mon Oct 28 2013 05:07:00 GMT+0100 (CET)\
W	40.064420000	-3.143592000	630.0	3162	04	Mon Oct 28 2013 05:13:15 GMT+0100 (CET)\
W	40.064420000	-3.143592000	629.0	3182	04	Mon Oct 28 2013 05:18:15 GMT+0100 (CET)\
W	40.064420000	-3.143593000	629.0	3188	04	Mon Oct 28 2013 05:19:45 GMT+0100 (CET)\
W	40.064420000	-3.143594000	629.0	3210	04	Mon Oct 28 2013 05:25:15 GMT+0100 (CET)\
W	40.064424000	-3.143594000	629.0	3216	04	Mon Oct 28 2013 05:26:45 GMT+0100 (CET)\
W	40.064424000	-3.143595000	629.0	3223	04	Mon Oct 28 2013 05:28:30 GMT+0100 (CET)\
W	40.064424000	-3.143596000	629.0	3234	04	Mon Oct 28 2013 05:31:15 GMT+0100 (CET)\
