Hola compañeros,

En este correo os envío los datos tomados por nuestra sonda.
Os envío "el bruto" en un archivo .txt 

Formato:

$Datos,n, humidity [%],Ext Temp [ºC], Int Tem [ºC],Pressure [KPa],Z 

Eg: $Datos,1,46,22,20,89,Z

En este ejemplo, estaríamos viendo los datos de la muestra número "1". Comprobamos que había un 46% de Humedad relativa, una temperatura exterior de 22ºC y una interior de 20ºC, con una presión de 89KPa.

Como podéis comprobar los dos termómetros no están del todo "calibrados/sincronizados". Son de diferente tipo y hay fluctuaciones entre ambos. A lo mejor se pueden hacer algún pequeño algoritmo de corrección que añada un OFFSET (en teoría, durante las primeras tomas, ambos dos deberían encontrarse al mismo valor) para poder comparar las medidas a lo largo del vuelo.

$Datos,149, 1,249,21,32,Z
$Datos,150, 1,248,21,31,Z
$Datos,151, 1,248,21,31,Z
$Datos,152, 1,248,56,30,Z
$Datos,153, 1,246,21,30,Z
$Datos,154, 2,245,20,29,Z
$Datos,155, 3,246,20,29,Z
$Datos,156, 3,245,20,29,Z
$Datos,157, 4,245,20,28,Z
$Datos,158, 4,244,20,28,Z
$Datos,159, 4,244,20,28,Z
$Datos,160, 5,244,20,27,Z
$Datos,161, 5,244,20,27,Z
$Datos,162, 5,244,20,27,Z
$Datos,163, 5,244,19,27,Z
$Datos,164, 5,245,19,26,Z
$Datos,165, 5,244,19,26,Z
$Datos,166, 5,244,19,26,Z
$Datos,167, 5,244,19,25,Z
$Datos,168, 5,244,19,25,Z
$Datos,169, 5,243,19,25,Z
$Datos,170, 5,243,18,25,Z
$Datos,171, 5,243,18,24,Z
$Datos,172, 5,242,18,24,Z
$Datos,173, 5,242,18,24,Z
$Datos,174, 5,242,18,23,Z
$Datos,175, 5,242,18,23,Z
$Datos,176, 4,240,18,23,Z
$Datos,177, 4,240,17,22,Z
$Datos,178, 3,239,17,22,Z
$Datos,179, 4,240,17,22,Z
$Datos,180, 3,239,17,22,Z
$Datos,181, 3,239,17,21,Z
$Datos,182, 3,239,17,21,Z
$Datos,183, 2,238,17,21,Z
$Datos,184, 2,237,16,21,Z
$Datos,185, 2,236,16,20,Z
$Datos,186, 1,236,16,20,Z
$Datos,187, 1,236,16,20,Z
$Datos,188, 1,236,16,20,Z
$Datos,189, 1,235,16,19,Z
$Datos,190, 1,235,16,19,Z
$Datos,191, 1,235,15,19,Z
$Datos,192, 1,234,15,19,Z
$Datos,193, 1,233,15,18,Z
$Datos,194, 1,234,15,18,Z
$Datos,195, 1,233,15,18,Z
$Datos,196, 1,233,15,18,Z
$Datos,197, 1,233,14,17,Z
$Datos,198, 1,232,14,17,Z
$Datos,199, 1,232,14,17,Z
$Datos,200, 1,232,14,17,Z
$Datos,201, 1,232,14,16,Z
$Datos,202, 1,232,14,16,Z
$Datos,203, 1,231,13,16,Z
$Datos,204, 1,231,13,16,Z
$Datos,205, 1,231,13,15,Z
$Datos,206, 1,231,13,15,Z
$Datos,207, 1,229,13,15,Z
$Datos,208, 1,229,12,15,Z
$Datos,209, 1,229,12,15,Z
$Datos,210, 1,229,12,14,Z
$Datos,211, 1,229,12,14,Z
$Datos,212, 1,229,12,14,Z
$Datos,213, 1,229,12,14,Z
$Datos,214, 1,229,12,14,Z
$Datos,215, 1,229,12,13,Z
$Datos,216, 1,227,12,13,Z
$Datos,217, 1,225,11,13,Z
$Datos,218, 1,227,11,13,Z
$Datos,219, 1,225,11,13,Z
$Datos,220, 1,225,11,12,Z
$Datos,221, 1,224,11,12,Z
$Datos,222, 1,223,10,12,Z
$Datos,223, 1,223,10,11,Z
$Datos,224, 1,222,10,11,Z
$Datos,225, 1,221,10,11,Z
$Datos,226, 1,222,10,11,Z
$Datos,227, 1,222,10,11,Z
$Datos,228, 1,222,9,10,Z
$Datos,229, 1,222,9,10,Z
$Datos,230, 1,223,9,10,Z
$Datos,231, 1,223,9,10,Z
$Datos,232, 1,222,9,10,Z
$Datos,233, 1,221,9,10,Z
$Datos,234, 1,220,9,10,Z
$Datos,235, 1,221,8,9,Z
$Datos,236, 1,220,8,9,Z
$Datos,237, 1,220,8,9,Z
$Datos,238, 1,222,8,9,Z
$Datos,239, 1,222,8,9,Z
$Datos,240, 1,222,8,9,Z
$Datos,241, 1,221,7,8,Z
$Datos,242, 1,221,7,8,Z
$Datos,243, 1,219,7,8,Z
